ID,GD1,GD2,GD3,GD4,GR1,GR2,GR3,GR4
R_7ZHQXhVwtfKzvb3,"Liberal","Intellectual","Open-minded","White","Middle-aged","White","Male","Conservative"
R_1gbZVfiwqbV7GAZ,"Uneducated","Pacifistic","Libelous","Liberal","Conservative","Republican","Christian","Straight"
R_0wUqUWNuzVBNMGx,"Uneducated","Poor","Black","Female","God fearing - most of the time","Patriotic - many Republicans believe we are the greatest nation in history and","Pro-business - Republicans want to reduce the regulations that are strangling the economy and provide tax breaks for businesses","Pro-life - Republicans are against abortion and support the right of the unborn to have a chance at life"
R_025AkmyJDcINyAp,"More Liberal","More Liberal","More Liberal","More Liberal","Racist ","Religious ","Rich ","Old"
R_839L1Or9vyTxM9v,"Liberal","Female","Old","Upper-Class","Conservative","Religious","White","Middle class"
R_1OE3ApzBOtuWO5I,"anti-racist","progressive","tolerant","liberal","Politically conservative ","Politically Conservative ","Politically Conservative ","Politically Conservative"
R_8uE4jkE9Q3Rnn5H,"Liberal","Progressive","Left-leaning","Social Democrat","Values","Family","Christian","God"
R_bCokhYGjAPHJBel,"Fair ","Moderate ","Male ","Educated","Religious ","Middle-aged ","Middle-class ","Conservative"
R_1gSkmjwdKk7Ha72,"Pro-choice","Liberal","Socialist","Democrat","Miserable ","Selfish ","Hostile ","Insecure"
R_3PYv472hevEfx8L,"Open-minded","Liberal","Young","Female","Extremely religious people","Racist people","Sexist people","People who"
R_2sbT0NF3VTzQZfM,"Liberal","Young","Female","Hispanic","Racist ","Sexist ","Homophobic ","Religious fanatic"
R_9ZFS5ACQbspSM5X,"Liberal","Progressive","Supportive","Tolerant","Godly ","Patriotic ","Conservative ","Conservative"
R_2OUf8GfyvhtVaYg,"Tolerant ","Open-minded ","Intelligent ","Progressive","Religious ","Conservative ","Conservative ","Conservative"
R_55RM09n4GI3CF7v,"Criminals ","Pessimists ","Losers ","Weak","Theists religious","Whites","Heterosexuals","Middle-class"
R_4Iol8RbhIgfxmMl,"Liberal ","Pro-choice ","Pro-gay-marriage ","Pro-affirmative action","God-fearing","Freedom Loving","Faithful",""
R_2rPFd8RvxxpO3Pf,"Feminine","Liberal","Hispanic","Young","Brilliant ","Tolerant ","Inspiring ","Courageous     "
R_yF0SYytkJ0LsPSx,"Liberal","Open-minded","Progressive","Liberal","Conservative","Middle-aged","White","Religious"
R_bBDUslRw4LHY51P,"Smart ","Open-minded ","Left-wing ","Liberal","Racist ","Homophobic ","Close-minded ","Rich"
R_vwdzLyAvdmUVeut,"Wealthy","Uneducated","Ignorant","Racist","Conservative","Religious","Heterosexual","White"
R_3iPamiE7fmo85Fd,"Liberal","Intelligent","Middle-class","Young","Conservative","Evangelical","White","Christian"
R_V4Pm4pdfQU7ipiN,"Liberal","Elitist","Anti-gun","Entitled","anti-gay","anti-abortion","anti-tax","pro-war"
R_be0cUxhHrd0BF9H,"Intelligent ","Liberal ","Compassionate ","Democratic","religious ","sexist ","racist ","rich"
R_1TvgbSOyCqHdriB,"Democrats are for social equality","Democrats are for social justice","Democrats are for the working class","Democrats are for the poor","Religious ","Nationalistic ","Racist ","Homophobic"
R_1EduAI0gRBJcaLo,"Liberal","Left-leaning","Pro-choice","Pro-liberal","Religious","Military","Narrow-minded","Conservative"
R_b3DH3y6PzY8itdH,"Liberal","Democratic","Support","Party","Conservative","Religious","Straight","White"
R_2WAvuf3yqGTtIVi,"Pro-gay/lesbian","Pro-choice","Pro-immigration","Pro-women","Conservative ","Religious ","White ","Male"
R_38EptKoXH8YDLRr,"Delusional","Intelligent","Naive","Responsible","Angry","Racist","Homophobic","Religious"
R_x414MWrM4HzPLCF,"Liberal Ideology  ","Must be ","Must be a Citizen ","Must be a Registered Voter","Poor","Old","White","Christian"
R_p5yY6Jt6IFq0Qcp,"Poor","Cautious","Religious","Moral","Politically Incorrect- I believe that there is no such thing as political correctness. I believe that if I want to be a racist, sexist, etc. that I should be able to do so. I believe that if I want to be a homophobe, then I should be able to do so. I believe that if I want to be a xenophobe, then I should be able to do so. I believe that if I want to be a fascist, then I should be able to do so.","Politically Brave- I will not hide my beliefs even if they are offensive to others. I will","",""
R_3hAVY2N2AqCCgSs,"Liberal","Progressive","Young","Female","Do not care about others","Ignorant","Racist","Selfish"
R_3hi2CXGE62ooNgn,"Liberal","Progressive","Liberal","Conservative","Alt-right, racist","","",""
R_5vWIaKahzEljSQd,"Liberal","Left-wing","Anti-war","Progressive","Stodgy","Racist","Religious","Old"
R_3fkHasWrTx9fVkW,"Anti-corporate","Anti-religious","Pro-abortion","Pro-homosexual","Old","White","Christian","Conservative"
R_2wz7KVi6qCgg4VW,"Liberal","Female","Middle-class","Young","Working class","Religious","Anti-abortion","Conservative"
R_2SfpCwj0DSLutBn,"Liberal","Democrat","Young","Female","Religious ","Old ","White ","Conservative"
R_33fjTze2xevEy6Q,"Liberal","Hard working","Inclusive","Educated","Ignorant","Xenophobic","Sexist","Racist"
R_0uLhGG1r8J2b0Et,"Pro-Choice","Liberal","Urbanite","Educated","Angry","Racist","Old","Rich"
R_6zAq4Rs7a4Lml9P,"Female","Liberal","Young","Educated","Racist ","Religious ","Miserly ","Homophobic"
R_1K2TggheEodH5vw,"Liberal ","Intelligent ","Typical ","Against the war","Conservative","Racist","Homophobic","Sexist"
R_cTIw82TiJRWuKyN,"Liberal","Democrat","Leftist","Progressive","Racists/Bigots","Homophobes","Sexists","Ideological Right"
R_22RksUbMfASiI6A,"Liberal ","Democrat ","Male ","Young","Intelligent","Hard working","Patriotic","Conservative"
R_3QYjIpjivEaEvIZ,"Liberals","Democratic","Poor","Middle-aged","Racist ","Anti-gay ","Religious fanatic ","Female"
R_22RnUGP6QYxBLw0,"Caring","People who want to help others","People who just want to help others","People who support others","Isolationists","Racists","Sexists","Homophobes"
R_2aOYCZcIByfxxqA,"Anti-Christian","Pro-gay","Pro-abortion","Pro-sex","Racist ","Homophobic ","Religious-fanatic ","Selfish"
R_8Ju6XtDHQGbM149,"Liberals","Educated","Middle-class","Young","Intelligent","Disciplined","Responsible","Patriotic"
R_23fvG5gAVIzzsa7,"Anthropogenic Climate Change","Marijuana Legalization","Pro-Choice","Equality","Hates gay people","Is racist","Is sexist","Is religious (Christian)"
R_25MaPy2DivP6YV6,"Rich","Ugly","Female","Young","Angry ","Rich ","White ","Christian"
R_2oi3hOC1PURhE3j,"Pessimistic","Uninformed","Self-righteous","Hypocritical","Christian ","White ","Suburban ","Male"
R_C7Fq5YEy4TxzZhD,"tolerant","open-minded","intelligent","progressive","Rich","White","Male","Religious"
R_yqLf3tPGJxNsHOV,"Liberal","More compassionate","Socialist","Corrupt","Religious","Whites","Conservative","Old"
R_1CxXGqoW7tJ557Z,"Liberal in the classical sense of the term","Fair","Intelligent","Generous","Conservative","Christian","Racist","Homophobic"
R_1iqBTlimbkoB2iG,"Pro-choice anti-life","Pro-homosexual anti-family","Pro-gun control anti-freedom","Pro-big government anti-freedom","Ignorant ","Stupid ","Bigoted ","Racist"
R_2WYHw92bQEPqad0,"Liberal","Poor","Old","Weak","Male ","Conservative ","White ","Religious"
R_1CpVQbkVJeCqlSK,"Racists ","Homophobes ","Nazis ","Killers","Intolerant","Judgmental","Racist","Stupid"
R_4My8IWv90svXXyR,"Liberal ","Women ","Young ","Democrat","Racist ","Homophobic ","Anti-Science ","Hypocritical"
R_3IQqBtcAfF8AIFR,"Liberal ","Open-minded ","Committed ","Peaceful","Racist","Homophobic","Religious Fanatic","Right-wing Extremist"
R_3houlG9hdhkKGZm,"Liberal ","Progressive ","Social ","Fairness","Conservative","Middle-class","White","Female"
R_6hBeyX9jrfB5Eq1,"Pro-minority"," Pro-women's rights","Anti-gun","Pro-gay rights","Guns","Religion","Racism","Ignorant"
R_8IGT1oymJC0irWd,"Fairness","Equality","Helping the less fortunate","Care","Conservative","White","Country","God"
R_7VQ0OtNL3pUjitv,"People who care about human rights","People who care about equality","People who care about the environment","People who are tolerant of others","Religious ","Conservative ","Middle-aged ","Conservative"
R_1mlWkMvAq66p7ks,"Liberal / Progressive","Pro-Environmental","Pro-Civil Rights","Pro-Gay Rights","Religious ","Pro-life ","Conservative ","Anti-immigrant The two words that I do not use when describing the typical Republican Party supporter are"
R_1fjVlf27zUvuoQ7,"Generous","Humane","Education","Compassionate","Religious ","Conservative ","Rich ","Racist"
R_d6V7d03wPG0Iad7,"Liberals","Environmentalists","Uninformed","Losers","Rich","Racist","Religious","Uneducated"
R_VVzibQ2ynEklDi1,"Liberal","Open-minded","","Progressive","Christian","Conservative","White","Middle class"
R_22LLze5oJyODvZt,"Liberals","Socially-conscious","Progressive","Open-minded","Anti-abortion without exceptions","Anti-LGBT","Anti-government","Racist"
R_Q0SqbHJDZNZKkoN,"Liberal","Pro-choice","Feminists","Anti-war","Racist","Homophobic","Low-income","Religious"
R_31hoR3CxwjnmQ6r,"Ethnically diverse ","Open-minded ","Liberal ","Engaged","Very religious","Conservative","Older and ","White"
R_RstzLDs7sCVWrTj,"Pro-choice","Anti-war","Liberal","Pro-Affirmative Action","Conservative","Patriotic","Traditional","Family-minded"
R_Tjt0fnZ5gGjL5hD,"Liberal","Male","Poor","Young","White or possibly white","Christian","Wealthy","Conservative"
R_4YMJ3Y7QULq9JSR,"Liberal","Pro-Choice","Pro-Gay Rights","Pro-Affirmative Action","Stupid ","Racist / Prejudiced against non-whites ","Incompetent ","Religious"
R_1ZVQ5HVvZWZfVbf,"Fiscally conservative","Fiscally conservative","Fiscally conservative","Fiscally conservative","White","Male","Conservative","Christian"
R_bxEx8TqmDEzFG8R,"Liberals ","Democrats ","Feminists ","Those who oppose racism","religious","fiscally conservative","pro-war","anti-gay"
R_5stIW1MoEPjnBw9,"Liberal","Politically Independent","Middle Class","Female","Conservative","Middle-class","Religious","Conservative"
R_1NldrwRxF4Dh2f1,"underdogs people who usually cannot win","poor the working class and the homeless","women people who are not treated equally","the underclass the exploited","Authoritarian","Religious","Conservative","Patriotic"
R_85F5dOkHY1aQYJr,"Liberals I do not believe labels are very helpful","People who do not like war","People who do not like people who have money","People who do not like people who like people who have money","rich","old","white","male"
R_28SfNDpnOPcQa6R,"Coercion","Imposition","Violence","Destruction","Mean ","Unkind ","Mean ","Mean"
R_4GXBZIrQGNpVnoh,"Young","Poor","Uneducated","Female","White, male, older, Christian, straight, middle class, American, patriot","gun owner, capitalist, racist, xenophobic, homophobic, anti-immigrant, anti-feminist","anti-liberal, anti-poor, anti-working class, authoritarian","conservative, anti-Obama, anti-gay, anti-ObamaCare, anti-social programs"
R_1hXvenBdiB1k500,"Liberal","In favor of increased government spending","Pro-life","Pro-choice","Pro-business","Anti-regulation","Anti-government","Moderate"
R_5gmCJOPuZpODfWB,"Communist","Socialist","Fascist","Marxist","Small government","Strong national defense","Moral values","Liberty"
R_D6MnUpgWSvxiWWZ,"Progressive","Liberal","Intellectual","Liberal","Conservative","Mature","Intelligent","Religion"
R_3oLYXFqxJhDQYqD,"Liberal","Intelligent","Politically Correct","","Stupid ","Rich ","Racist ","Bigots"
R_6eOlk2IyQRQEiAl,"Open-minded ","Compassionate ","Intellectual ","Liberal","Conservative ","Religious ","White ","Older"
R_1CIlPja23DNEchn,"Liberal","Progressive","Democrat","Strong","Conservative ","Religious ","Patriotic ","Racist"
R_3qU9ZLEtPUnZP6u,"Liberal","Young","Female","Upper-Class","Politically conservative","Religious","White","Wealthy"
R_b9E7wuhevB2ND8N,"Liberal ","Intelligent ","Racist ","Uneducated","Rich, white","old, male","Christian, conservative","so-called 'patriotic,' 'American,' and/or 'red-blooded.'"
R_yqkCJkIb5w8g8Lf,"Non-Christians","The poor, the working poor, the unemployed, and the homeless","Those who are in favor of a woman's right to choose","Those who are in favor of gay marriage","racist, homophobic, xenophobic, misogynistic","small-minded, closed-minded, mean-spirited, hypocritical, selfish","corrupt, power-hungry, greedy, unprincipled","uncaring, cruel, mean, heartless"
R_1dNcL5W9yPF0nqR,"Liberal","Poor","Minority","Young","Racist/bigots ","Sexist ","Ignorant ","Religious"
R_2CJ9mEkw3mG7X2Z,"Liberals","Libertarians","Socialists","Communists","Closed-minded ","Mean-spirited ","Racist ","Ignorant Those are not my words"
R_Rnuhtk2WlJ0LhN7,"Anti-Republican","Anti-Conservative","Pro-Religious Freedom","Pro-Environmental","Low-information voters I am not sure what this means","Racist","Homophobic","Pro-war"
R_325x0dLJgutzBPH,"Liberal","Poor","Young","Male","racist","homophobic","sexist","self-centered"
R_2RahL0MO199l2d9,"Liberal","Weak","Female","Middle-class","Christian","Conservative","White","Heterosexual"
R_9uXJK2uYKjmLwNf,"Liberal","Open-minded","Intelligent","Progressive","Religious","Rich","Stupid","Uneducated"
R_3DvAMDyRBzOv3QY,"Liberal ","Young ","Female ","Educated","Conservative","Religious","Racist","Close-minded"
R_2WI07I5vqmrknzc,"Unintelligent","Racist","Homophobic","Feminist","Traditional","Conservative","Patriotic","Godly"
R_3O61gHxyoP0KggB,"Change","Open-minded","Caring","Liberal","Mentally deficient","Racist","Religious zealot","Homophobic"
R_a2WHv62bu6JHarb,"Left-wing","Young","Idealistic","Socialistic","Conservative","Christian","Scared","White"
R_1Qgb0EQXOoIZAOd,"Open-minded","Intellectual","Peace-loving","Well-educated","Blacks","Women should earn less than men","Poor people deserve to be poor","Blacks"
R_2YhyvoKeckI7v3X,"Liberal","Elitist","Intolerant","Socialist","rich","white","religious","male"
R_4OPSxspY6GSef4h,"Liberal ","Feminist ","Progressive ","Demisexual","White, Christian, middle-class, male.","Stupid, homophobic, racist, self-righteous jerks.","Anti-gay, anti-environment, anti-women, anti-minority, pro-rich, pro-corporation.",""
R_b2fDVdGEMcF4T29,"Toilet Paper","Flatulence","Dung","Degeneration","Angry","White","Rural","Old"
R_2afMZbCI8GHEOm3,"Liberal","Female","Upwardly mobile","Young","Atheist ","Pro-corporate ","Racist ","Sexist"
R_26ny5JxZfsmOem6,"Men who are not white","People who are poor","People who are not religious","People who are not married","religious","conservative","white","older"
R_6rH980pOKpabc2x,"Fairness","Equality","Liberty","Compassion","Conservative ","Christian ","White ","Racist"
R_2qxGgzmNOYHPmKq,"Liberal ","Educated ","Young ","Intelligent","Conservative ","Religious ","Caucasian ","Old"
R_SHNeWpP24d0opCp,"Ideologically","Politically","Financially","In terms of my age","The wealthy ","Non-college educated ","Christians ","White"
R_3pf17yxkygS8f3c,"Liberal","Progressive","Middle-class","Social","Racists who promote the perception that they are pro-business","People who are very religious","People who want lower taxes","People who believe that the government is unnecessary and should be done away with"
R_e3XWNOtpxOM0C9L,"People who are dependent on government and do not pay taxes","Immigrants","People who are lazy and prefer to live off others rather than work","People who are not smart enough to make it on their own and need the government to provide for them","Tea Party member which I am","Hispanic which I am","Female which I am","Middle Class which I am"
R_e98DxnXKZktDtI1,"Liberal","Progressive","Young","Female","Traditional Values","Pro-life","Smaller Government","Christian Values"
R_2tgLR842AdFxFk4,"Liberal  Fairness ","Democrat  Environmental ","Male  Culture ","Middle-aged  Conservative ","Religious","Conservative","Racist","Homophobic"
R_82g1L6iBvqWUPZ3,"anti-war","socially progressive","pro-labor","pro-government","Whites","Wealthy","Conservative","Old"
R_5dvNcwOxtTlU7Nb,"People who have been screwed by the Republican Party","","","","Conservative ","Pro-life ","Christian ","Racist"
R_1myCwNEl4q4Fqk9,"Liberal","Young","Female","Left-wing","Fiscally conservative ","Reasonable about social issues ","Conservative on social issues ","Non-ideological/pragmatic"
R_a33Z2gdui5hMUh7,"People who support the Democratic Party are typically young and idealistic","People who support the Democratic Party are typically older","People who support the Democratic Party are typically more liberal","People who support the Democratic Party are typically less religious and more atheist than those who support the Republican Party","old","white","male and","racist"
R_3iLpPOk5QmLRxF3,"Socially liberal, but fiscally conservative","The Democratic Party has moved too far to the left.","","","Pro-life","Christian","Conservative","White"
R_2wM26MIZDA8SsSy,"Liberals","Atheists","Homosexuals","Feminists","Able to work hard","Can be relied on to be honest","Can be depended on to have integrity","Takes responsibility for his/her actions"
R_DpK0r6tBVokoDLj,"Liberal","Young","Female","Foolish","Religious ","Conservative ","Anti-gay ","Racist When I am asked to write down four words that typically describe people who support the Democratic Party"
R_b3eYzDqzU86PJhT,"Liberal","Intellectual","Intelligent","Young","Right-wing conservatives","Religious zealots","White men","Old-fashioned"
R_cBEFQcXoGZqDmjX,"Rich ","Young ","Uninformed ","Liberal","white ","old ","male ","racist"
R_2dN1PjT5EoFeQuE,"Socially tolerant","Open-minded","Liberal","Progressive","Conservative  ","Religious  ","White/Anglo-Saxon  ","Heterosexual"
R_bOYts3BV1yLWVRr,"Liberal ","Pro-choice ","Anti-war ","Environmentalist","Religious","Conservative","Politically active","Republican"
R_4OT8nSgNICSjo2h,"Social","Liberal","Progressive","Secular","Religious ","Conservative ","White ","Rich"
R_0jkOX9ANo8ZUQ4t,"Progressive","Liberal","Equality","Change","The Religious Right","Church-going","Right-wing","Conservative"
R_9tUkkdDnjeferoV,"People who are compassionate and care about their fellow human beings","People who believe in social equality","People who are not afraid to think outside the box","People who are open-minded","Religious ","Anti-abortion ","Christian ","White"
R_p618A6fogLbgOKl,"Open-minded","Compassionate","Intelligent","Progressive","All for themselves","Racist","Stupid","Ignorant"
R_2s7Tc9SQhhq0KgZ,"More likely to support gay rights","More likely to think that the government should provide for the people","More likely to believe that women should have the right to choose","More likely to think that government regulation is necessary to protect the environment","White","Christian","Straight","Male"
R_28B7lQ2S9lWmd13,"Liberals ","Politically correct ","Tax and spend ","Undependable","Conservative","Racist","Bigot","Homophobic"
R_3oHgOEsi2ih5ZLj,"Intelligent ","Thoughtful ","Compassionate ","Liberal","Religious people ","Military veterans ","People who work hard ","Gun owners"
R_2c2wKbYzhJIam8k,"People who are willing to compromise on their morals","People who believe in the welfare state","People who would rather be taken care of by the government than work for the government","People who are willing to believe anything that will help them get ahead","Innate Racism","Innate Contempt","Innate Intolerance","Innate Bigotry"
R_1iqRyz21c2cwU4R,"People who support the Democratic Party tend to support social policies that help the poor","People who support the Democratic Party tend to support economic policies that benefit the working class","People who support the Democratic Party tend to support policies that protect the environment","People who support the Democratic Party tend to oppose war","White ","Southern ","Christian ","Male"
R_2o7Pn0YObORvbKF,"I am a cisgender white female","","","","Redneck","Racist","Poor","Ignorant"
R_3L6JgCOi9IX61uP,"Liberal","Middle class","Female","Young","Racist ","Homophobic ","Ignorant ","Religious"
R_2vj0nIkZq8DEQP2,"People who think rich people are evil","People who are considered minorities","People who want free handouts","People who want to take away my guns","Conservative","Anti- abortion  in the past","Christian","White"
R_1E1h6v6iMhNZGbD,"Liberals","Intellectual","Idealistic","Self-righteous","White Male","Wealthy","Religious","Conservative"
R_vZ8yb6BJeKB4gzD,"Liberal","Female","Educated","Middle class","Racist ","Homophobic ","Sexist ","Religious"
R_7V5jJLOS4IpJQVL,"Liberal","Intelligent","Progressive","Idealistic","Conservative","Christian","Racist","Homophobic"
R_6QN4JmzplxxsGcl,"Liberal","Pro-women","Anti-war","Pro-education","White","Old","Rich","Conservative"
R_3oTLwbtKOc9me79,"Liberal","Young","Intelligent","Open-minded","Christian Conservative","Patriotic","Conservative","American"
R_3xQiOuEXrsLrb1P,"Liberals","Young","Idealistic","Intelligent","Racist","Selfish","Ignorant","Homophobic (in the sense of being anti-gay)."
R_24YHWVV2dSEzzx3,"Male","Young","Rich","White","Religious","Conservative","Racist","Mean"
R_034i8Kcri68bfEx,"Liberal","Educated","Open-minded","Tolerant","Business leaders","Veterans","Religious people","Conservatives"
R_A5aqcCVsA2aAun7,"Liberals","Democrats","Female","Middle-Class","Southern","Religious right","Conservative","White"
R_QmPJ5akrOaYhOPT,"Poor","Female","Minority","Young","Race-based","Misogynistic","Homophobic","Racist"
R_2TZBPPky3wLC7x8,"Liberal","Young","Urban","College","Conservative","Christian","White","Male"
R_1LiessVKQ3yhL2G,"Liberal","Democrat","Politically active","Socially progressive","Bigots","Sexists","Racists","Homophobes"
R_2dQJQJupnYtjwdg,"Liberal","Open-minded","Intelligent","Moderate","Fundamentalist","Conservative","Anti-Liberal","Anti-Socialist"
R_d0WM4eyUQZg774l,"Poor","Young","Diverse","Liberal","White","Christian","Male","Conservative"
R_3dFUluzMd0EApbd,"Open-minded","Liberal","Educated","Talkative","People who support the Republican Party are prejudiced","People who support the Republican Party are ignorant","People who support the Republican Party are not very smart","People who support the Republican Party are racist"
R_cOYiHGWY1lFRarX,"Liberal","Progressive","Social Justice","Human Rights","Conservative","Fiscal","Moderate","Independent"
R_z7lCWhKlk0FHZrr,"Morally Superior","Exploited Victims","Oppressed Victims","Persecuted Victims","Racist ","Hypocrite ","Homophobe ","Bigot"
R_1IyEpJl8AdtRBA8,"Liberals   ","Democrats   ","Poor people   ","Black People","Rich white male","Christian fundamentalist","Racist","Homophobic"
R_3jSZfg3nz5LZuaC,"People who want to redistribute wealth","People who want freebies","People who are on welfare","People who want to legalize marijuana","Less-educated ","Religious ","Unemployed ","Older"
R_3kmEEYuiLw3Io3K,"Intelligent","Liberals","Rational","Progressive","Republicans are heartless","Republicans are racist","Republicans are intolerant","Republicans are selfish"
R_3RggNOUF6Lc30wG,"Liberal/Left ","Pro-choice/Pro-abortion ","Unpatriotic ","Anti-American","Older","A supporter of gay rights","A believer in science","A member of the We Are the "
R_3J90xLJKBwqYABs,"People who support the Democratic Party typically have high levels of education","People who support the Democratic Party typically have strong feelings of social justice","People who support the Democratic Party typically have a strong sense of tolerance","People who support the Democratic Party typically have a strong sense of optimism","White ","Christian ","Wealthy ","Old"
R_2X6Gzg4LNNox0CZ,"Liberal/Progressive","Leftist/Socialist","Upper-Class","Intellectually Superior","Straight","White","Male","Christian"
R_WeZmYAQ8khaVPQR,"Uninformed","Irrational","Nave","Good people","Conservative","Republican","Middle-class","Old"
R_87aEtmq4ddBjRpX,"Liberals ","Female ","Young ","Strongly Supportive of the Environment","Conservative ","Christian ","White","Minority"
R_5tJuy7BM7YNWTxr,"People who are pro-choice","People who are pro-affirmative action","People who are pro-social security","People who are pro-choice","Politically Conservative","Middle Class","Religious","White"
R_eapFFeNASHgJnut,"Intelligent","Charitable","open-minded","Realistic","Uneducated ","Ignorant ","Racist ","Mean"
R_6nXBqrNiUVBD11X,"Intelligent","Liberal","Charitable","Young","Older","Male","Religious","White"
R_eyu7tQ2DyiD1ETT,"Liberal","Female","Young","Upper-class","They are not very smart","They are mean-spirited","They are unintelligent","They are prejudiced"
R_30hFNCJtkDDgR1N,"Weak ","Irrational ","Nave ","Uninformed","White","Christian","Straight","Male"
R_12fiHJscKiZShju,"Liberals","Democrats","Hispanics","Young","racists","bigots","xenophobes","misogynists"
R_1P8lnD1Iq2dXLKm,"Liberal ","Independent ","Liberal ","Democrat","Religious ","Conservative ","White ","Male"
R_3qIcqfMJJ5hGxcF,"Liberal","Intelligent","Interested in the environment","Enthusiastic","religious ","conservative ","white ","male"
R_3VhOYpF52JFd4EJ,"Progressive","Open-minded","Liberal","Independent","Older white people","Racist","Not very smart","Very religious"
R_0wagqKsq5B7kkYJ,"Willing to take a short-cut to achieve a goal","Concerned with what others think and say about him/her","Incapable of making a decision for himself/herself","Unable to see any value in the past","Anti-gay","Anti-abortion","Anti-immigration","Pro-business"
R_08IO9j0Spc7xdVD,"Progressive","Liberal","Open-minded","Liberal","Male","Straight","Middle-aged","Middle-class"
R_3JLwZbYfCWIS8ap,"Rich","Young","Black","Female","Disloyal to country","Religious zealotry","Homophobic","Racist"
R_2Eys9wvZGPKn9uM,"Anti-American","Urban","Young","Liberal","Conservative","Religious","White","Middle aged"
R_2Ehr6v2solU3gwk,"Intelligent","Idealistic","Compassionate","Open-minded","Religious ","Competitive ","Patriotic ","Nationalist"
R_1Q4a4tCCsuF0VMc,"Intellectual","Liberally-minded","Progressive","Female","Religious ","Old White ","Rich ","Male"
R_8jeDJg0yS6fCgHD,"Liberal","Socially Liberal","Socially Progressive","Fiscally Conservative","Closed-minded ","Ignorant ","Intolerant ","Uncaring"
R_3qHaFaAhGwAnVFr,"People who are poor","People who need help","People who deserve to be helped","People who are not rich","White","Christian","Straight","Male"
R_eyvoTaxrf4jogJv,"Liberal","Democrat","Female","Young","white","male","middle aged","middle class"
R_3ixvBBxr0uXdswn,"Uneducated","Poor","Single mothers","Uninformed","Christian","White","Male","Conservative"
R_3MMT1PLWkws1VjG,"Feminism","Social justice","Environmentalism","Foreign aid","religious","wealthy","male","old"
R_2af1KvAi3qbvOh0,"Ideologically liberal","Politically liberal","","Financially secure","Conservatives ","Republicans ","White ","Christian"
R_4Uh89lf4U2eDF5P,"Liberal","Female","Young","Educated","Conservative","Christian","White","Angry"
R_9WDIlD6kySltosB,"Liberal ","Supports abortion rights ","Uninformed ","Useless","White","Christian","",""
R_26lkiCAQhncb5HL,"Uninformed ","Pessimistic ","Idealistic ","Nave","White","Middle Class","Older","Men"
R_1OTZs3wRSSRcyCd,"Liberals","Non-religious","Atheists","Non-white","Homophobic","Old","White","Racist"
R_zVETPi8GbwkIA4F,"Educated","Liberal","Poor","Young","racist ","religious fanatic ","gay hater ","selfish"
R_1di3LyEIdzyQ6Iv,"First-world Problems","Tree-hugging hippy","Atheist","Pro-abortion","Conservative","Patriotic","Capitalist","Internationalist"
R_2pPLQRkslBSOy4t,"Caring about others","Having compassion for the less fortunate","Being willing to help with the tough issues","Appreciating the value of a good education","Religious fanatics ","Tea baggers ","Racists ","Right wing extremists"
R_3gOx6oTOC2ZNZQy,"Uninformed","Weak","Ineffective","Incompetent","Angry","Prejudiced ","Righteous ","Other-worldly"
R_0DmdS5wmjmqy9w1,"Liberal","Smart","Smart","Smart","Close-minded","Liberal","Ignorant","Racist"
R_tS2E3e7N1G31Mop,"People with low incomes","People who believe in a strong government","People who believe women and minorities are underrepresented in government","People who are liberal-minded","Conservative","Religious","White","Rural"
R_2R9fKAl1049ctXM,"Open-minded","Tolerant","Progressive","Liberal","Stupid","Religious","Racist","Wealthy"
